plant_name,name,recipe_type,difficulty,usage_method,description,treats,benefits,main_ingredient,preparation_steps,preparation_time,dosage,notes
"Rau đắng biển","Rau luộc/Xào (Món ăn)","other","easy","oral","Sử dụng như một loại rau ăn hàng ngày.","Căng thẳng, nóng trong người","Bổ sung chất xơ, an thần nhẹ","200g rau tươi","1. Nhặt sạch, rửa để ráo.\n2. Luộc chín tới hoặc xào với tỏi.","10","Ăn trong bữa cơm.","Ăn 2-3 bữa/tuần."
"Rau đắng biển","Dầu dừa rau đắng","oil","hard","topical","Chiết xuất hoạt chất vào dầu nền để bôi.","Rụng tóc, đau nhức khớp nhẹ","Dưỡng tóc, giảm đau","100g rau tươi, 200ml dầu dừa","1. Rau rửa sạch, để thật ráo nước.\n2. Đun nhỏ lửa với dầu dừa cho đến khi rau khô giòn.\n3. Lọc lấy dầu, bỏ bã.","60","Bôi lên tóc hoặc vùng khớp đau.","Bảo quản nơi thoáng mát."
"Dong riềng đỏ","Sắc rễ trị tim mạch","tea","medium","oral","Củ dong riềng đỏ sắc uống hỗ trợ tim.","Đau thắt ngực, mỡ máu cao","Giãn mạch, giảm đau tim","20g củ dong riềng đỏ tươi","1. Rửa sạch củ, thái lát.\n2. Hầm với tim lợn hoặc sắc nước uống.","40","Ăn/uống 1 lần/ngày.","Dùng liên tục 10 ngày."
"Dong riềng đỏ","Củ hầm gà","other","medium","oral","Món ăn bài thuốc bồi bổ.","Cơ thể suy nhược, sau ốm dậy","Bồi bổ khí huyết","30g củ, 1 con gà ác","1. Làm sạch gà và củ.\n2. Hầm cách thủy cho mềm.\n3. Nêm gia vị vừa ăn.","90","Ăn 1 tuần 1 lần.",""
"Dong riềng đỏ","Hạt tán bột chữa viêm tai","powder","medium","topical","Hạt phơi khô tán bột rắc.","Viêm tai giữa chảy mủ","Kháng viêm, làm khô vết thương","Hạt già của cây","1. Thu hái hạt, phơi khô.\n2. Tán thành bột thật mịn.\n3. Rây kỹ loại bỏ tạp chất.","30","Rắc một lượng nhỏ vào tai sau khi vệ sinh.","Cần vệ sinh tai sạch trước khi rắc."
"Rau má","Sinh tố rau má","juice","easy","oral","Nước giải khát phổ biến nhất.","Nóng trong, mụn nhọt, rôm sảy","Thanh nhiệt, giải độc gan","100g rau má tươi","1. Rửa sạch, cắt khúc.\n2. Xay với nước lọc và đá.\n3. Lọc bã, thêm đường/sữa.","10","Uống 1-2 ly/ngày.","Người huyết áp thấp không nên uống quá nhiều."
"Rau má","Trà rau má khô","tea","easy","oral","Dùng rau má phơi khô hãm trà.","Căng thẳng, lo âu, mất ngủ nhẹ","An thần, dễ ngủ","10g rau má khô","1. Rửa sơ rau khô.\n2. Hãm với nước sôi như pha trà.","10","Uống thay nước lọc.",""
"Rau má","Cao đắp sẹo","paste","medium","topical","Nấu cô đặc nước rau má thành cao.","Sẹo lồi, sẹo lõm, vết thương đang lành","Làm mờ sẹo, tái tạo da","1kg rau má tươi","1. Ép lấy nước cốt.\n2. Đun nhỏ lửa liu riu cho bay hơi nước.\n3. Khi sền sệt thì cất lọ thủy tinh.","120","Bôi lên sẹo 2 lần/ngày.","Kiên trì sử dụng mới có hiệu quả."
"Nho tía","Rượu ngâm thân","tincture","medium","oral","Thân cây ngâm rượu.","Đau lưng, nhức mỏi, gãy xương lâu lành","Thông kinh lạc, bổ xương khớp","500g thân cây, 1 lít rượu","1. Rửa sạch thân, cắt khúc ngắn.\n2. Sao vàng hạ thổ.\n3. Ngâm rượu 1 tháng.","40","Uống 1 chén nhỏ trong bữa ăn.",""
"Nho tía","Thân tươi bó gãy xương","paste","medium","topical","Giã nát thân cây đắp ngoài.","Gãy xương, bong gân, sưng tấy","Giảm sưng, mau liền xương","Thân cây tươi vừa đủ","1. Rửa sạch, giã nát với ít muối.\n2. Đắp lên chỗ sưng đau.\n3. Băng cố định.","20","Thay thuốc 1 lần/ngày.","Kết hợp nắn chỉnh xương trước khi bó."
"Nho tía","Sắc uống bổ máu","tea","medium","oral","Sắc thân và lá uống.","Thiếu máu, kinh nguyệt không đều","Bổ huyết, điều hòa kinh nguyệt","20g thân lá khô","1. Sao thơm dược liệu.\n2. Sắc với 400ml nước còn 100ml.","40","Chia 2 lần uống trong ngày.","Phụ nữ có thai không dùng."
"Chanh ta","Nước chanh mật ong","juice","easy","oral","Thức uống tăng đề kháng buổi sáng.","Ho, viêm họng, đề kháng kém","Sát khuẩn họng, bổ sung Vitamin C","1/2 quả chanh, 1 thìa mật ong","1. Vắt lấy nước cốt chanh.\n2. Pha với 200ml nước ấm.\n3. Thêm mật ong khuấy đều.","5","Uống vào buổi sáng sớm.","Không uống khi bụng quá đói nếu đau dạ dày."
"Chanh ta","Vỏ chanh hấp đường phèn","syrup","easy","oral","Bài thuốc dân gian trị ho trẻ em.","Ho khan, ho có đờm","Long đờm, giảm ho","Vỏ 2 quả chanh, đường phèn","1. Thái sợi vỏ chanh.\n2. Trộn đường phèn.\n3. Hấp cách thủy 15 phút.","20","Ngậm hoặc uống nước cốt 3 lần/ngày.",""
"Chanh ta","Nước xông giải cảm","other","easy","inhale","Nấu nước lá chanh xông hơi.","Cảm cúm, sốt, nhức đầu","Ra mồ hôi, giải cảm","Lá chanh, lá bưởi, sả...","1. Rửa sạch các loại lá.\n2. Đun sôi 5 phút.\n3. Trùm chăn xông hơi 15 phút.","15","Xông 1 lần/ngày khi bị cảm.","Tránh gió lạnh sau khi xông."
"Cây Đậu biếc","Trà hoa đậu biếc","tea","easy","oral","Trà có màu xanh đẹp mắt.","Mắt mờ, lão hóa, lo âu","Sáng mắt, chống oxy hóa, đẹp da","5-7 bông hoa khô","1. Hãm hoa với nước sôi.\n2. Đợi 5 phút cho ra màu xanh biếc.\n3. Thêm chanh sẽ chuyển màu tím.","5","Uống 1-2 tách/ngày.","Không dùng hạt (hạt có độc nhẹ)."
"Cây Đậu biếc","Màu thực phẩm tự nhiên","other","easy","oral","Lấy nước cốt tạo màu cho xôi, chè.","(Dùng trong ẩm thực)","Tạo màu sắc an toàn, đẹp mắt","20 bông hoa tươi/khô","1. Ngâm hoa với ít nước nóng già.\n2. Bóp nát để ra hết màu.\n3. Lọc bỏ bã, lấy nước màu.","10","Tùy theo lượng thực phẩm cần nhuộm.",""
"Cây Đậu biếc","Rễ sắc tẩy giun","tea","hard","oral","Bài thuốc tẩy xổ mạnh.","Táo bón nặng, giun sán","Tẩy ruột","5g rễ khô","1. Sao vàng rễ.\n2. Sắc đặc lấy nước uống.","30","Uống 1 lần vào buổi sáng.","Chỉ dùng khi có chỉ định, dễ gây buồn nôn."
"Cỏ nhọ nồi","Nước ép cầm máu","juice","easy","oral","Giã tươi vắt lấy nước uống ngay.","Chảy máu cam, rong kinh, thổ huyết","Cầm máu nhanh","1 nắm cây tươi","1. Rửa sạch, ngâm nước muối.\n2. Giã nát, thêm chút nước sôi để nguội.\n3. Vắt lấy nước uống, bã đắp.","15","Uống 1-2 lần.","Rất hiệu quả với chảy máu cam."
"Cỏ nhọ nồi","Cao nhọ nồi mật ong","syrup","medium","oral","Nấu cô đặc dùng dần.","Suy nhược, thiếu máu nhẹ","Bồi bổ, cầm máu","1kg cây tươi, mật ong","1. Nấu cây với nước, lọc lấy nước cốt.\n2. Cô đặc lại thành cao lỏng.\n3. Trộn mật ong bảo quản.","120","Uống 1 thìa cafe/ngày.",""
"Cỏ nhọ nồi","Sắc uống hạ sốt","tea","medium","oral","Kết hợp sắn dây hạ sốt.","Sốt cao, sốt xuất huyết","Hạ nhiệt, bù nước","20g nhọ nồi, 20g sắn dây","1. Sắc với 500ml nước còn 200ml.\n2. Chia uống trong ngày.","30","Uống liên tục đến khi hết sốt.",""
"Ngò gai","Trà ngò gai trị cảm cúm","tea","easy","oral","Sắc nước uống khi bị cảm.","Cảm cúm, hắt hơi, sổ mũi","Giải cảm, ấm người","30g ngò gai tươi, gừng","1. Rửa sạch ngò gai, thái khúc.\n2. Đập dập vài lát gừng.\n3. Sắc uống nóng.","20","Uống 2 lần/ngày.",""
"Ngò gai","Nước sắc trị sỏi thận","tea","medium","oral","Bài thuốc dân gian tống sỏi.","Sỏi thận nhỏ, tiểu rắt","Lợi tiểu, bào mòn sỏi","1 nắm lá ngò gai","1. Hơ lá trên lửa cho héo.\n2. Sắc với 3 bát nước còn 1 bát.","30","Uống 3 lần/ngày trước ăn.","Cần kiên trì, kết hợp uống nhiều nước."
"Ngò gai","Lá hấp trị hôi miệng","other","easy","gargle","Sắc đặc để súc miệng.","Hôi miệng, viêm lợi","Thơm miệng, sát khuẩn","50g lá ngò gai, vài hạt muối","1. Đun lá với nước và muối.\n2. Để nguội.","15","Súc miệng 3-4 lần/ngày.",""
"Hoa gừng đuốc","Canh chua hoa gừng","other","medium","oral","Dùng hoa nấu canh (đặc sản).","Chán ăn, đầy bụng","Kích thích tiêu hóa, giải nhiệt","1 búp hoa tươi","1. Thái lát mỏng búp hoa.\n2. Nấu canh chua với cá hoặc tôm.","20","Ăn kèm cơm.","Vị chua dịu, thơm đặc trưng."
"Hoa gừng đuốc","Nước tắm khử mùi","other","easy","bath","Đun lá và thân cây tắm.","Mùi hôi cơ thể, ngứa da","Khử mùi, sạch da","Lá và thân cây già","1. Đập dập thân, cắt khúc lá.\n2. Đun nước tắm.","20","Tắm hàng ngày.",""
"Hoa gừng đuốc","Sắc uống trị tiểu đường","tea","medium","oral","Hỗ trợ ổn định đường huyết.","Tiểu đường tuýp 2","Hạ đường huyết","20g hoa khô","1. Thái nhỏ hoa, phơi khô.\n2. Sắc nước uống thay trà.","30","Uống hàng ngày.","Cần theo dõi chỉ số đường huyết."
"Hoa dâm bụt","Lá đắp mụn nhọt","paste","easy","topical","Lá tươi và hoa giã nát.","Mụn nhọt đang sưng tấy","Hút mủ, giảm sưng","Lá và hoa tươi","1. Rửa sạch, giã nát với vài hạt muối.\n2. Đắp lên mụn nhọt.","10","Đắp 1-2 lần/ngày.","Khi mụn vỡ thì không đắp nữa."
"Hoa dâm bụt","Trà hoa dâm bụt","tea","easy","oral","Hãm hoa khô.","Huyết áp cao, nóng trong","Hạ áp, thanh nhiệt","3-5 bông khô","1. Hãm với nước sôi.\n2. Thêm mật ong/chanh.","5","Uống hàng ngày.","Chọn loại dâm bụt ta (cánh đơn)."
"Hoa dâm bụt","Vỏ rễ trị kinh nguyệt","tea","medium","oral","Sắc vỏ rễ uống.","Kinh nguyệt không đều","Điều hòa kinh nguyệt","20g vỏ rễ khô","1. Sao vàng vỏ rễ.\n2. Sắc uống trong ngày.","40","Uống trước kỳ kinh 7 ngày.",""
"Rau cá","Ăn sống trị trĩ","other","easy","oral","Ăn rau sống hàng ngày.","Trĩ nội, táo bón","Nhuận tràng, bền thành mạch","50-100g rau tươi","1. Rửa sạch bằng nước muối.\n2. Ăn kèm trong bữa ăn.","5","Ăn hàng ngày.","Rất tốt cho người bị trĩ."
"Rau cá","Nước ép hạ sốt trẻ em","juice","easy","oral","Giã nát lấy nước cốt.","Trẻ em sốt cao","Hạ sốt an toàn","20g rau tươi","1. Giã nát rau.\n2. Thêm nước cháo loãng hoặc nước ấm.\n3. Lọc lấy nước cho trẻ uống.","10","Uống 2-3 lần.","Bã có thể đắp trán."
"Rau cá","Sắc uống trị viêm tiết niệu","tea","medium","oral","Sắc nước uống lợi tiểu.","Tiểu buốt, tiểu dắt","Kháng viêm, lợi tiểu","30g rau khô (hoặc 60g tươi)","1. Sắc với 1 lít nước.\n2. Uống thay nước trong ngày.","30","Uống liên tục 5-7 ngày.",""
"Địa liền","Rượu xoa bóp","tincture","easy","topical","Ngâm củ với rượu.","Đau nhức xương khớp, tê thấp","Giảm đau, ấm khớp","100g củ khô, 500ml rượu","1. Thái lát củ, phơi khô.\n2. Ngâm rượu trong 1 tuần.","10","Xoa bóp vùng đau 2 lần/ngày.","Không được uống (nếu ngâm đậm đặc)."
"Địa liền","Trà địa liền tán hàn","tea","easy","oral","Hãm bột hoặc lát khô.","Lạnh bụng, đi ngoài, đầy hơi","Ấm bụng, cầm tiêu chảy","5g bột địa liền","1. Hòa bột với nước ấm.\n2. Hoặc hãm lát khô uống.","5","Uống khi đang đau bụng.",""
"Địa liền","Viên hoàn dạ dày","other","hard","oral","Kết hợp mật ong làm viên.","Đau dạ dày, tiêu hóa kém","Hỗ trợ tiêu hóa","Bột địa liền, mật ong","1. Trộn bột với mật ong làm viên hoàn.\n2. Phơi khô hoặc sấy.","60","Uống 2 viên/ngày.",""
"Cây sống đời","Lá đắp vết bỏng","paste","easy","topical","Giã nát lá tươi đắp.","Bỏng nhẹ, vết thương hở","Làm dịu, mau lành da","2-3 lá già","1. Rửa sạch, ngâm nước muối.\n2. Giã nát.\n3. Đắp lên vết bỏng.","10","Đắp 2 lần/ngày.","Hiệu quả cao với bỏng nhẹ."
"Cây sống đời","Ăn sống trị viêm họng","other","easy","oral","Nhai sống lá tươi.","Viêm họng, ho, mất tiếng","Kháng khuẩn họng","1 lá tươi","1. Rửa thật sạch.\n2. Nhai chậm, nuốt nước từ từ.","5","Nhai 2-3 lần/ngày.","Vị hơi chua chát."
"Cây sống đời","Nước ép trị trĩ","juice","easy","oral","Uống nước cốt lá.","Trĩ nội đi ngoài ra máu","Cầm máu, nhuận tràng","50g lá tươi","1. Xay nhuyễn vắt lấy nước.\n2. Uống nước cốt.","15","Uống sáng và chiều.",""
"Ráy gai","Sắc uống trị tê thấp","tea","medium","oral","Sắc thân rễ khô.","Đau lưng, mỏi gối, tê bì","Trừ thấp, giảm đau","20g thân rễ khô","1. Sao vàng hạ thổ.\n2. Sắc với 3 bát nước còn 1 bát.","40","Uống sau ăn.","Dược liệu có tính hơi độc, cần sao kỹ."
"Ráy gai","Ngâm rượu bổ","tincture","medium","oral","Ngâm thân rễ với rượu.","Suy nhược, đau nhức người già","Bồi bổ, mạnh gân","1kg rễ khô, 3 lít rượu","1. Rửa sạch, thái lát, phơi khô, sao vàng.\n2. Ngâm rượu 40 độ trong 1 tháng.","60","Uống 1 ly nhỏ trước ngủ.",""
"Ráy gai","Nước tắm trị ngứa","other","easy","bath","Nấu nước tắm cả cây.","Mẩn ngứa, lở loét","Sát khuẩn da","Toàn cây tươi","1. Rửa sạch.\n2. Nấu nước tắm.","20","Tắm khi nước còn ấm.",""
"Lá móng","Nước nhuộm tóc","paste","medium","topical","Tạo thuốc nhuộm tự nhiên.","Tóc bạc sớm","Phủ bạc, an toàn","Bột lá móng, nước cốt chanh","1. Trộn bột lá với nước chanh thành hồ sệt.\n2. Ủ lên tóc 1-2 giờ.\n3. Gội sạch.","15","Dùng khi cần nhuộm.","Màu đỏ nâu tự nhiên."
"Lá móng","Sắc uống điều kinh","tea","medium","oral","Sắc lá uống.","Bế kinh, đau bụng kinh","Thông kinh","20g lá tươi","1. Sắc với 500ml nước.\n2. Chia 2 lần uống.","30","Uống trước kỳ kinh.","Phụ nữ có thai tuyệt đối không dùng."
"Lá móng","Lá đắp nấm móng","paste","easy","topical","Giã lá tươi đắp móng.","Nấm móng tay chân","Diệt nấm","Lá tươi, chút giấm","1. Giã nát lá với giấm.\n2. Đắp lên móng bị nấm.","10","Đắp hàng ngày đến khi khỏi.",""
"Bạc Hà","Trà bạc hà chanh","tea","easy","oral","Pha trà thư giãn.","Stress, đau đầu, cảm nhẹ","Thư giãn, giải cảm","1 nắm lá tươi","1. Vò nhẹ lá.\n2. Hãm nước sôi.\n3. Thêm chanh đường.","5","Uống ấm hoặc lạnh.",""
"Bạc Hà","Xông hơi trị mụn","other","easy","inhale","Xông mặt nước lá.","Mụn trứng cá, da dầu","Sạch lỗ chân lông, kháng viêm","Lá bạc hà tươi","1. Đun sôi nước lá.\n2. Xông mặt 10 phút.","15","Xông 2 lần/tuần.",""
"Bạc Hà","Tinh dầu đuổi muỗi","oil","hard","other","Chiết xuất tinh dầu.","(Dùng cho không gian)","Đuổi côn trùng","Lá bạc hà số lượng lớn","1. Chưng cất lôi cuốn hơi nước (quy mô nhỏ).","120","Dùng đèn xông.",""
"Chùm hôi","Gia vị cà ri","powder","easy","oral","Làm bột gia vị.","(Dùng nấu ăn)","Kích thích tiêu hóa, tạo mùi thơm","Lá chùm hôi khô","1. Phơi khô lá trong bóng râm.\n2. Tán thành bột hoặc để nguyên lá.","30","Nêm vào món cà ri, súp.",""
"Chùm hôi","Sắc uống trị tiểu đường","tea","medium","oral","Hỗ trợ người tiểu đường.","Tiểu đường","Hạ đường huyết","15g lá khô","1. Sắc nước uống hàng ngày.","20","Uống thay trà.",""
"Chùm hôi","Dầu ủ tóc","oil","medium","topical","Nấu lá với dầu dừa.","Tóc bạc sớm, rụng tóc","Đen tóc, kích thích mọc","1 nắm lá tươi, dầu dừa","1. Đun lá với dầu dừa đến khi lá đen lại.\n2. Lọc lấy dầu.","40","Ủ tóc 15 phút trước khi gội.",""
"Cây É","Canh gà lá é","other","medium","oral","Món ăn đặc sản Phú Yên.","Cảm cúm, mệt mỏi","Giải cảm, bổ dưỡng","1 nắm lá é trắng, thịt gà","1. Nấu canh gà chín tới.\n2. Vò lá é thả vào, tắt bếp ngay.","30","Ăn nóng.","Lá é rất thơm, vị cay nồng."
"Cây É","Hạt é giải khát","juice","easy","oral","Ngâm hạt é uống.","Nóng trong, táo bón","Thanh nhiệt, nhuận tràng","2 thìa hạt é","1. Ngâm hạt vào nước ấm cho nở hết.\n2. Pha đường, đá.","10","Uống 1 ly/ngày.",""
"Cây É","Xông giải cảm","other","easy","inhale","Nấu nước xông.","Cảm mạo, đau đầu","Ra mồ hôi","Toàn cây tươi","1. Đun nước xông.","20","Xông 15 phút.",""
"Hương nhu tía","Nước gội đầu","other","medium","bath","Nấu nước gội đầu cổ truyền.","Rụng tóc, đau đầu","Mượt tóc, sạch gàu, thư giãn","Hương nhu, bồ kết, vỏ bưởi","1. Nướng bồ kết.\n2. Đun sôi tất cả dược liệu.\n3. Pha ấm để gội.","40","Gội 2-3 lần/tuần.","Rất thơm và thư giãn."
"Hương nhu tía","Sắc uống trị cảm nắng","tea","easy","oral","Sắc uống khi bị cảm nắng.","Cảm nắng, nôn mửa, tiêu chảy","Giải nhiệt, cầm nôn","10g hương nhu tía khô","1. Sắc lấy nước uống nguội.","20","Uống từng ngụm nhỏ.",""
"Hương nhu tía","Nước súc miệng","other","easy","gargle","Hãm nước súc miệng.","Hôi miệng, viêm lợi","Sát khuẩn miệng","Lá tươi","1. Hãm lá với nước sôi và muối.\n2. Súc miệng hàng ngày.","10","Dùng sau khi đánh răng.",""
"Xương rồng bà","Cá lóc nấu canh chua","other","medium","oral","Món ăn đặc sản miền Trung.","Nóng trong","Thanh nhiệt, lạ miệng","Lá non (bỏ gai)","1. Gọt sạch gai và vỏ xanh.\n2. Thái lát mỏng.\n3. Nấu canh chua cá lóc.","30","Ăn với cơm.","Chọn lá non để không bị xơ."
"Xương rồng bà","Lá nướng đắp đau lưng","paste","easy","topical","Nướng nóng lá đắp.","Đau lưng, gai cột sống","Giảm đau nhức","Lá bánh tẻ","1. Hơ lá trên than hồng cho nóng mềm.\n2. Áp lên vùng lưng đau (lót qua khăn mỏng).","10","Đắp 15 phút.","Cẩn thận tránh bỏng."
"Xương rồng bà","Nhựa bôi mụn nhọt","other","easy","topical","Lấy nhựa bôi.","Mụn nhọt mới mọc","Tiêu sưng","Nhựa cây","1. Trích nhựa tươi.\n2. Chấm vào nốt mụn.","5","Bôi 2 lần/ngày.","Nhựa có thể gây kích ứng da lành."
"Chua me đất hoa vàng","Canh chua me đất","other","medium","oral","Nấu canh cá.","Sốt cao, khát nước","Thanh nhiệt, hạ sốt","1 nắm to cây tươi","1. Rửa sạch đất cát.\n2. Nấu canh cá lóc/cá chép.","30","Ăn nóng.","Vị chua thanh dễ ăn."
"Chua me đất hoa vàng","Lá đắp trị viêm họng","paste","easy","oral","Nhai nuốt nước cốt.","Viêm họng, ho","Sát khuẩn họng","10g lá tươi, muối","1. Rửa sạch, nhai cùng vài hạt muối.\n2. Nuốt nước từ từ.","5","Nhai 3 lần/ngày.",""
"Chua me đất hoa vàng","Sắc uống trị vàng da","tea","medium","oral","Sắc uống hỗ trợ gan.","Viêm gan, vàng da","Lợi mật","30g tươi","1. Sắc lấy nước uống.","20","Uống hàng ngày.",""
"Mơ lông","Trứng rán lá mơ","other","easy","oral","Món ăn bài thuốc nổi tiếng.","Kiết lỵ, đau bụng, tiêu chảy","Cầm tiêu chảy, ấm bụng","1 nắm lá mơ, 2 trứng gà","1. Thái nhỏ lá mơ.\n2. Đánh với trứng, thêm chút gia vị.\n3. Áp chảo hoặc hấp cách thủy (tốt hơn).","15","Ăn nóng.","Nếu bị kiết lỵ nên hấp (nướng) lá chuối."
"Mơ lông","Nước ép trị giun","juice","easy","oral","Uống nước cốt sống.","Giun kim, giun đũa","Tẩy giun","50g lá tươi","1. Giã nát, vắt lấy nước cốt.\n2. Uống vào buổi sáng lúc đói.","10","Uống 3 ngày liên tục.",""
"Mơ lông","Dây sắc chữa phong thấp","tea","medium","oral","Sắc thân dây uống.","Đau nhức xương khớp người già","Giảm đau, trừ thấp","20g dây già (phơi khô)","1. Sao vàng.\n2. Sắc uống hàng ngày.","30","Uống sau ăn.",""
"Chanh dây","Nước cốt chanh dây","juice","easy","oral","Pha nước giải khát.","Nóng bức, thiếu Vitamin","Giải nhiệt, đẹp da","2 quả chín","1. Lấy ruột, đánh tan với đường/mật ong.\n2. Thêm đá và nước lọc.","5","Uống 1 ly/ngày.","Bỏ hạt nếu không thích."
"Chanh dây","Trà vỏ chanh dây","tea","medium","oral","Tận dụng vỏ làm trà.","Mỡ máu, căng thẳng","Giảm mỡ, an thần","Vỏ quả chanh dây","1. Thái sợi vỏ, sấy khô.\n2. Hãm nước sôi uống như trà.","10","Uống hàng ngày.","Vỏ phải rửa thật sạch."
"Chanh dây","Siro chanh dây","syrup","medium","oral","Nấu siro dùng dần.","Ho, khản tiếng","Dịu họng","Ruột 1kg chanh dây, đường phèn","1. Nấu ruột chanh với đường phèn đến khi sánh lại.\n2. Cất lọ dùng dần.","40","Pha nước uống.",""
"Diệp Hạ Châu","Sắc uống giải độc gan","tea","medium","oral","Bài thuốc kinh điển trị gan.","Viêm gan B, men gan cao","Hạ men gan, giải độc","20g khô (cả cây)","1. Rửa sạch, sao vàng.\n2. Sắc với 1 lít nước uống trong ngày.","30","Dùng theo đợt 10-15 ngày.","Vị đắng."
"Diệp Hạ Châu","Đắp mụn nhọt","paste","easy","topical","Giã cây tươi đắp.","Mụn nhọt, đinh râu","Tiêu độc, vỡ mủ","Cây tươi","1. Giã nát với ít muối.\n2. Đắp lên mụn.","10","Đắp khi mụn chưa vỡ.",""
"Diệp Hạ Châu","Hãm trà túi lọc","tea","easy","oral","Dùng dạng trà túi lọc (tự làm).","Người hay uống rượu bia","Bảo vệ gan","Bột cây khô","1. Đóng gói bột vào túi lọc.\n2. Hãm nước sôi 5 phút.","5","Uống hàng ngày.","Tiện lợi hơn sắc."
