name,scientific_name,english_name,vietnamese_name,description,biological_info,medicinal_info,usage,common_locations
"Ngò gai","Eryngium foetidum L.","Culantro, Chadon Beni, Sawtooth Coriander","Mùi tàu","Thuộc họ Apiaceae (Hoa tán).","Cây thân thảo, sống lâu năm (hoặc hai năm), mọc đứng, thân nhẵn, phân nhánh ở phía ngọn. Lá ở gốc mọc thành hình hoa thị (xếp tỏa tròn), hình mác thuôn dài, mép lá có răng cưa cứng như gai, không cuống, có mùi thơm hắc đặc trưng. Lá trên thân mọc đối, nhỏ hơn, mép xẻ răng cưa sâu hơn. Hoa mọc thành cụm đầu hình trụ hoặc hình trứng ở kẽ lá hoặc ngọn cành, màu trắng lục, được bao bọc bởi 5-7 lá bắc hình sao dẹt, cứng. Quả bế đôi, hình cầu hoặc hình trứng, hơi dẹt, vỏ ngoài có nhiều vảy lồi, khi chín màu nâu đen, chứa hạt nhỏ.","Sốt, bổ thần kinh, đau dạ dày, đau tức ngực, rối loạn tiêu hoá, viêm ruột tiêu chảy (cả cây sắc uống).","","Cây trồng, còn mọc hoang dại ở ven rừng, trên các bãi hoang ở miền núi khắp nơi."
"Hoa gừng đuốc","Etlingera elatior (Jack) R.M.Sm.","Alpinia elatior","","Thuộc họ Zingiberaceae (Gừng).","Cây thân thảo lớn, sống lâu năm, mọc thành bụi dày, có thân rễ (củ) mập nằm dưới đất, thân giả (do bẹ lá ốp vào nhau) cao to, mập mạp. Lá mọc so le (xếp thành 2 dãy), phiến lá hình mũi mạc dài hoặc thuôn dài, to rộng, màu xanh đậm, mép nguyên, gân giữa nổi rõ. Cụm hoa mọc trên một cán dài riêng biệt mọc từ thân rễ lên (không mọc từ ngọn thân giả), cụm hoa hình cầu hoặc hình búp sen (ngọn đuốc), đặc trưng bởi các lá bắc màu hồng, đỏ rực hoặc trắng, dày, bóng như sáp, xếp lợp lên nhau như vảy cá. Hoa thật nhỏ, hình ống, thò ra từ kẽ các lá bắc. Quả mọng, hình cầu, mọc thành cụm đầu, có lông tơ, khi chín chứa nhiều hạt nhỏ màu đen.","Chữa tiểu đường, cao huyết áp, giảm mỡ máu, đau tai, rửa vết thương nhiễm trùng, các bệnh ngoài da (nấm, ghẻ ngứa), khử mùi hôi cơ thể (dùng lá đun nước tắm), kích thích tiêu hóa, đầy bụng, chán ăn, giảm viêm sưng, kháng khuẩn (đặc biệt là các chủng khuẩn tụ cầu vàng và nấm Candida).","","Cây mọc tự nhiên ở các vùng đất ẩm ướt, ven suối, dưới tán rừng thưa, phổ biến ở vùng núi (đặc biệt là Tây Nguyên) và được trồng rải rác ở nước ta."
"Hoa dâm bụt","Hibiscus rosasinensis","Red Hibiscus","","Thuộc họ Mallows.","Cây bụi, sống lâu năm, thân gỗ nhỏ, phân nhiều cành nhánh, vỏ thân màu nâu xám. Lá mọc so le, là lá đơn, hình trứng hoặc bầu dục, gốc lá tròn, mép lá có răng cưa thô, đầu nhọn. Hoa mọc đơn độc ở nách lá, kích thước lớn, thường có màu đỏ tươi (ngoài ra còn có màu hồng, vàng, trắng), 5 cánh hoa xòe rộng (hoặc cánh kép), đặc trưng bởi bộ nhị dính liền nhau tạo thành một ống dài màu đỏ bao quanh vòi nhụy thò dài ra ngoài. Quả nang, hình trứng tròn, khi chín nứt thành 5 mảnh, chứa hạt hình thận, có lông.","Chữa mụn nhọt, sưng tấy, lở ngứa, kinh nguyệt không đều, khí hư, đại tiện ra máu, kiết lỵ, mất ngủ, quai bị, viêm tuyến mang tai, đau mắt đỏ.","","Cây thường được trồng làm hàng rào, làm cảnh ở vườn nhà, công viên, đường phố, phổ biến ở nước ta."
"Rau cá","Houttuynia cordata Thunb.","Fish mint, Fish leaf","Diếp cá","Thuộc họ Saururaceae.","Cây thân thảo, sống lâu năm, thân rễ mọc ngầm dưới đất, thân đứng màu lục hoặc tím đỏ, có lông ở các đốt. Lá mọc so le, hình tim, đầu nhọn, mép nguyên, khi vò nát có mùi tanh như cá. Hoa mọc thành cụm bông hình trụ ở ngọn thân hoặc đối diện với lá, mang nhiều hoa nhỏ màu vàng nhạt, được bao bọc bởi 4 lá bắc màu trắng nom như cánh hoa. Quả nang, mở ở đỉnh, chứa nhiều hạt hình trái xoan, nhẵn.","Chữa sởi, đau mắt, lòi dom (Lá giã đắp). Thuốc giải nhiệt, chữa táo bón, viêm ruột, lỵ, viêm đường tiết niệu, viêm thận phù thũng, phụ nữ kinh nguyệt không đều, mẩn ngứa (Lá vò nước uống).","","Cây mọc ưa ẩm, thường thấy ở ruộng ẩm, bờ suối, được trồng làm rau ăn và làm thuốc, phổ biến ở nước ta."
"Địa liền","Kaempferia galanga L.","Aromatic ginger, Sand ginger","","Thuộc họ Zingiberaceae (Gừng).","Cây thân thảo nhỏ, sống lâu năm, thân rễ (củ) hình trứng gồm nhiều củ nhỏ nối tiếp nhau, có mùi thơm nồng. Lá thường chỉ có 2-3 cái mọc xòe sát mặt đất (áp đất), hình bầu dục hoặc gần tròn, mép nguyên, mặt trên xanh lục, mặt dưới trắng nhạt có lông mịn. Hoa mọc thành cụm không cuống ở nách lá (trung tâm khóm lá), màu trắng, cánh môi to xẻ hai thùy, có các vạch tím ở giữa. Quả nang, hình trứng, chứa hạt có áo hạt.","Chữa ngực, bụng lạnh đau, thổ tả, nôn, cảm sốt, nhức đầu, tê thấp đau nhức (Thân rễ sắc hoặc tán bột uống, xoa bóp).","","Cây mọc hoang ở các vùng rừng núi thấp và thường được trồng ở vườn gia đình để lấy củ làm thuốc, phổ biến ở nước ta."
"Cây sống đời","Kalanchoe pinnata (Lam.) Pers.","Miracle leaf, Air plant, cathedral bells, life plant","","Thuộc họ Crassulaceae (Thuốc bỏng).","Cây thân thảo, sống lâu năm, thân tròn, nhẵn, mọng nước, có các vết đốm tía. Lá mọc đối, là lá đơn hoặc lá kép lông chim lẻ (gồm 3 lá chét), phiến lá dày, mọng nước, mép lá khía răng cưa tròn, đặc biệt tại các kẽ răng cưa thường mọc ra cây con khi lá rụng xuống đất ẩm (hoặc ngay trên cây). Hoa mọc thành cụm xim ngù ở ngọn thân, rủ xuống, đài hoa hình ống phồng to màu lục nhạt hoặc tía, tràng hoa hình ống màu đỏ hoặc tím hồng, thắt lại ở cổ. Quả gồm 4 đại, chứa nhiều hạt nhỏ.","Chữa bỏng (rất hiệu quả), cầm máu, làm lành vết thương, mụn nhọt, lở loét, viêm da, sưng tấy, viêm tai giữa, đau mắt đỏ, viêm họng, ho, trĩ nội, trĩ ngoại, chảy máu cam, mất ngủ, sỏi thận.","","Cây mọc hoang dại ở ven suối, vách đá, ven đường nơi nhiều nắng và được trồng làm cảnh, làm thuốc trong chậu hoặc vườn nhà, phổ biến ở nước ta."
"Ráy gai","Lasia spinosa (L.) Thwaites","Lesia","Mớp","Thuộc họ Araceae (Ráy).","Cây thân thảo, sống lâu năm, ưa nước, có thân rễ bò ngang ngầm dưới đất. Thân, cuống lá và gân giữa mặt dưới lá đều có nhiều gai nhọn cong hướng xuống. Lá mọc từ gốc, cuống lá dài, phiến lá thay đổi theo độ tuổi: lá non hình mũi tên, lá già xẻ thùy sâu dạng lông chim, đầu nhọn. Hoa mọc thành cụm bông mo hình trụ ngắn, được bao bọc bởi một lá bắc (mo) dài, hẹp, xoắn lại, màu nâu tím hoặc lục nhạt. Quả mọng, xếp sát nhau thành bắp hình trụ sần sùi (có gai ngắn ở đỉnh quả), khi chín màu đỏ hoặc vàng cam, chứa một hạt.","Chữa tê thấp, đau nhức xương khớp, đau lưng, đầu gối sưng đau, viêm gan, vàng da, suy gan, xơ gan cổ trướng, thanh nhiệt, giải độc, mụn nhọt, lở ngứa, rắn cắn.","","Cây mọc tự nhiên ở các vùng đất trũng, lầy lội, ven bờ ao, kênh rạch, bờ suối hoặc dưới tán rừng ẩm, phổ biến ở nước ta (đặc biệt là vùng Đồng bằng sông Cửu Long)."
"Lá móng","Lawsonia inermis L.","Henna","Chỉ giáp hoa","Thuộc họ Lythraceae (Tử vi).","Cây bụi hoặc gỗ nhỏ, sống lâu năm, phân cành nhiều, cành non có cạnh, đầu cành thường có gai nhọn. Lá mọc đối, là lá đơn, hình bầu dục hoặc hình trứng ngọn giáo, hai đầu nhọn, mép nguyên, cuống ngắn. Hoa mọc thành cụm xim hình chùy lớn ở đầu cành, màu trắng, đỏ hoặc vàng nhạt, có mùi thơm hắc, cánh hoa nhăn nheo. Quả nang, hình cầu, có 4 rãnh dọc, đài còn tồn tại ở gốc, khi chín nứt thành 4 mảnh, chứa nhiều hạt nhỏ, có cạnh, vỏ hạt dày.","Chữa hắc lào, nấm móng, nấm da, ghẻ lở, mụn nhọt, vết thương chảy máu, sưng tấy, đau nhức cột sống, đau vùng thắt lưng, viêm gan, vàng da, kinh nguyệt không đều, bế kinh, dùng để nhuộm tóc, nhuộm móng tay.","","Cây thường được trồng làm hàng rào, làm cảnh hoặc trồng chuyên canh lấy lá làm thuốc nhuộm, phổ biến ở nước ta."
"Bạc Hà","Mentha arvensis L.","Corn Mint, Field Mint, Or Wild Mint","","Thuộc họ Lamiaceae (Hoa môi).","Cây thân thảo, sống lâu năm, thân mềm, tiết diện vuông, mọc đứng hoặc bò lan, có lông ngược, toàn cây có mùi thơm hắc đặc trưng (mùi menthol). Lá mọc đối, chéo chữ thập, hình trứng hoặc bầu dục, mép lá có răng cưa, cuống ngắn. Hoa mọc vòng tụ tập ở nách lá (khác với một số loài bạc hà ngoại nhập hoa mọc thành bông ở ngọn), màu tím nhạt, hồng hoặc trắng, đài hình chuông, tràng hình môi. Quả bế, gồm 4 hạt nhỏ nằm trong đài.","Chữa cảm cúm, sốt, nhức đầu, sổ mũi, nghẹt mũi, hắt hơi, viêm họng, ho, đau bụng, đầy hơi, chướng bụng, ăn không tiêu, nôn mửa, tiêu chảy, đau răng, dị ứng, mẩn ngứa, ban sởi.","","Cây ưa ẩm và ưa sáng, thường được trồng đại trà để lấy tinh dầu, làm rau gia vị và làm thuốc trong vườn nhà, cánh đồng, phổ biến ở nước ta."
"Chùm hôi","Murraya koenigii (L.) Spreng","Curry leaves","Cây Cà ri","Thuộc họ Rutaceae (Cam chanh).","Cây gỗ nhỏ hoặc cây bụi, sống lâu năm, thường xanh, vỏ thân màu nâu thẫm, cành non có lông tơ. Lá mọc so le, là lá kép lông chim lẻ, gồm 11-25 lá chét mọc so le, hình trái xoan hoặc mũi mác lệch (gốc lá không cân), mép lá khía răng cưa nhỏ, khi vò nát tỏa ra mùi thơm nồng đặc trưng. Hoa mọc thành cụm ngù ở ngọn cành, màu trắng, nhỏ, có hương thơm, cánh hoa thuôn dài. Quả mọng, hình cầu hoặc hình trứng, mọc thành chùm, khi chín chuyển màu đen bóng, chứa 1-2 hạt (lưu ý hạt có độc tính, không nên ăn).","Chữa rối loạn tiêu hóa, đầy bụng, khó tiêu, tiêu chảy, kiết lỵ, nôn mửa, ốm nghén, tiểu đường (hỗ trợ hạ đường huyết), kích thích mọc tóc, làm đen tóc, mẩn ngứa, côn trùng cắn, vết bầm tím.","","Cây được trồng chủ yếu ở vườn nhà tại các tỉnh phía Nam và miền Trung để lấy lá làm gia vị nấu ăn và làm thuốc, ít phổ biến ở miền Bắc."
"Cây É","Ocimum americanum L.","Hoary basil","Húng lông","Thuộc họ Lamiaceae (Hoa môi).","Cây thân thảo, mọc đứng, sống hàng năm, thân vuông, phân nhiều cành, thường có lông tơ mịn (đặc biệt ở phần non và cụm hoa). Lá mọc đối, hình bầu dục hoặc hình trứng, gốc tròn hoặc thuôn, đầu nhọn, mép lá khía răng cưa nhẹ hoặc gần như nguyên, cuống mảnh, toàn cây tỏa ra mùi thơm hương chanh rất dễ chịu. Hoa mọc thành cụm xim co (vòng) ở ngọn cành tạo thành bông dài, các vòng hoa xếp thưa nhau trên trục, tràng hoa màu trắng (đôi khi hơi tím nhạt), chia hai môi. Quả bế (hạt), hình trứng nhỏ, màu đen nhánh, khi ngâm vào nước sẽ nở ra lớp màng nhầy màu trắng bao quanh hạt.","Chữa cảm cúm, sốt, nhức đầu, ho, viêm họng, khản tiếng, đau bụng, đầy hơi, khó tiêu, nôn mửa, hôi miệng, viêm nướu, giảm căng thẳng, mệt mỏi, xua đuổi muỗi và côn trùng.","","Cây mọc hoang ở các bãi đất trống, ven đường, sườn đồi và được trồng phổ biến trong vườn nhà để làm gia vị (rau thơm) hoặc làm thuốc, phân bố rộng rãi ở nước ta (đặc biệt là miền Trung và miền Nam)."
"Hương nhu tía","Ocimum tenuiflorum","White holy basil","É đỏ","Thuộc họ Lamiaceae (Hoa môi).","Cây thân thảo hoặc cây bụi nhỏ, sống lâu năm, thân mọc đứng, hình vuông, màu tím tía hoặc đỏ nâu, có lông mềm. Lá mọc đối, cuống dài, phiến lá hình trứng hoặc thuôn dài, mép khía răng cưa, màu nâu tím hoặc xanh lục có sắc tía, hai mặt có lông, vò nát có mùi thơm nồng (mùi đinh hương). Hoa mọc thành chùm xim ở ngọn cành hoặc nách lá, các vòng hoa xếp sát nhau, màu tím nhạt hoặc trắng tía. Quả bế, hình cầu nhỏ, màu nâu đen, nằm trọn trong đài hoa tồn tại.","Chữa cảm lạnh, cảm nắng, sốt, nhức đầu, làm ra mồ hôi, đau bụng lạnh, nôn mửa, tiêu chảy, hôi miệng, đau răng, viêm lợi, thấp khớp, đau nhức xương khớp, rụng tóc, mẩn ngứa.","","Cây thường được trồng làm thuốc trong vườn nhà, đình chùa hoặc mọc hoang ở các bãi đất trống, nương rẫy, phổ biến ở nước ta (cả miền Bắc và miền Nam)."
"Xương rồng bà","Opuntia vulgaris Mill","Prickly pear or pear cactus","Lưỡi long","Thuộc họ Cactaceae (Xương rồng).","Cây bụi, sống lâu năm, thân mọng nước, gồm nhiều cành dẹt (biến dạng thành hình vợt hoặc hình trứng ngược) mọc nối tiếp nhau, màu xanh lục, trên mặt thân có các u lồi (túm gai) mang 1-3 gai cứng và nhọn. Lá thật rất nhỏ, hình vảy, mọc ở trên các cành non và rụng rất sớm. Hoa mọc đơn độc ở mép phía trên của các cành, kích thước lớn, màu vàng tươi (đôi khi có vạch đỏ ở giữa), nhiều cánh hoa xếp lớp, bao phấn màu vàng. Quả mọng, hình quả lê hoặc hình trứng, lõm ở đầu, khi chín màu đỏ tía, chứa nhiều hạt, thịt quả ăn được.","Chữa mụn nhọt, viêm mủ, sưng tấy, đinh râu, bỏng, vết thương phần mềm, đau lưng, đau nhức xương khớp, gai cột sống, kiết lỵ, táo bón, phế quản trướng khí, hen suyễn.","","Cây chịu hạn rất tốt, thường mọc hoang ở các bãi cát, vùng ven biển, đồi trọc hoặc được trồng làm hàng rào bảo vệ, làm cảnh, phổ biến ở nước ta."
"Chua me đất hoa vàng","Oxalis corniculata L.","Yellow Oxalis","","Thuộc họ Oxalidaceae.","Cây thân thảo, mọc bò sát đất, sống lâu năm, thân mảnh, màu đỏ nhạt hoặc xanh lục, có lông tơ mềm, bén rễ ở các mấu (đốt). Lá mọc so le, cuống lá dài và mảnh, là lá kép chân vịt gồm 3 lá chét hình tim ngược (đỉnh lá lõm sâu), mềm, nhẵn, có vị chua. Hoa mọc thành tán (từ 2-3 hoa) ở nách lá, cuống cụm hoa dài bằng hoặc hơn cuống lá, hoa màu vàng tươi, nhỏ, 5 cánh. Quả nang, hình trụ dài, có lông, khi chín nứt dọc bắn tung hạt đi xa, chứa nhiều hạt hình trứng dẹt, màu nâu thẫm.","Chữa viêm họng, ho, sốt cao, cảm cúm, sổ mũi, viêm gan, vàng da, bí tiểu, mụn nhọt, lở ngứa, sưng tấy, rắn cắn, kiết lỵ, huyết áp cao, an thần, trằn trọc khát nước.","","Cây mọc hoang ở khắp nơi, từ vườn nhà, chân tường, kẽ gạch đến bờ ruộng, bãi cỏ, nơi đất ẩm mát, rất phổ biến ở nước ta."
"Mơ lông","Paederia foetida L.","Skunkvine, stinkvine","Dây mơ","Thuộc họ Rubiaceae (Cà phê).","Cây dây leo, sống lâu năm, thân cuốn, mảnh, hình trụ, có lông mịn. Lá mọc đối, hình trứng hoặc mác thuôn dài, gốc lá hình tim hoặc tròn, đầu nhọn, mặt trên màu xanh, mặt dưới thường màu tím đỏ (loại mơ tam thể) hoặc xanh, có nhiều lông, khi vò nát tỏa ra mùi hôi thối đặc trưng (do khí disulfur). Hoa mọc thành cụm xim ở nách lá hoặc ngọn dây, tràng hoa hình ống phễu, màu trắng hoặc tím nhạt, bên trong họng có sắc tím sẫm và nhiều lông dày. Quả hạch, hình cầu dẹt, nhẵn bóng, màu vàng nâu, chứa 2 hạt dẹt màu đen, có cánh mỏng.","Chữa kiết lỵ (lỵ amip và trực khuẩn), tiêu chảy, đau bụng, đầy hơi, khó tiêu, viêm dạ dày, viêm đại tràng, sôi bụng, phong thấp, đau nhức xương khớp, đau thần kinh tọa, bí tiểu, cam tích ở trẻ em, ngộ độc sắn (khoai mì), nấm da, giời leo.","","Cây ưa sáng và ưa ẩm, thường mọc hoang leo lên các bụi rậm, hàng rào, bờ nương và được trồng phổ biến trong vườn gia đình để làm rau gia vị và làm thuốc, phổ biến ở nước ta."
